PM1.0,PM2.5,PM10,D.3,D.5,D1.0,D2.5,D5.0,D10,T,H
60,73,76,9384,2900,342,12,5,2,19.30,50.00
59,74,77,9399,2909,356,12,5,1,19.30,50.10
59,73,76,9405,2904,339,12,5,1,19.30,50.00
60,74,76,9513,2933,324,12,4,1,19.30,50.00
60,74,76,9513,2931,324,11,4,1,19.30,49.90
60,73,76,9417,2909,315,14,4,1,19.40,50.00
59,73,74,9366,2879,320,11,1,0,19.30,50.00
58,73,74,9327,2862,331,12,2,0,19.40,50.00
58,74,75,9342,2862,339,12,2,0,19.30,50.10
58,74,76,9384,2884,344,10,2,0,19.30,49.90
58,74,76,9315,2867,345,12,3,1,19.40,50.00
60,74,77,9534,2935,335,10,3,2,19.30,50.00
60,76,79,9600,2957,362,13,3,2,19.30,50.00
60,76,79,9600,2957,362,13,3,2,19.30,50.00
60,76,79,9600,2957,362,13,3,2,19.30,49.90
59,75,79,9549,2928,362,15,4,2,19.30,49.90
59,75,79,9549,2928,362,15,4,2,19.30,49.90
59,75,79,9549,2928,362,15,4,2,19.30,50.00
59,77,81,9705,2976,367,16,5,2,19.30,49.90
59,77,81,9705,2976,367,16,5,2,19.30,50.00
59,77,81,9705,2976,367,16,5,2,19.40,49.90
61,79,83,9990,3068,376,16,5,2,19.40,50.00
61,79,83,9990,3068,376,16,5,2,19.30,50.00
61,79,83,9990,3068,376,16,5,2,19.40,50.00
62,80,84,10101,3105,376,19,5,2,19.30,50.00
62,80,84,10101,3105,376,19,5,2,19.40,49.90
62,80,84,10101,3105,376,19,5,2,19.30,49.90
64,81,87,10320,3171,379,23,7,2,19.30,49.90
64,81,87,10320,3171,379,23,7,2,19.40,50.00
64,81,87,10320,3171,379,23,7,2,19.40,50.00
66,84,90,10581,3261,393,28,8,2,19.40,49.90
67,87,93,10962,3365,413,30,8,2,19.30,49.90
70,93,99,11409,3519,453,33,8,2,19.30,49.90
72,96,101,11679,3609,480,35,7,1,19.30,49.90
74,98,103,11874,3676,483,35,7,1,19.30,49.90
77,102,106,12267,3822,500,35,6,1,19.40,50.10
77,102,105,12252,3815,493,35,5,1,19.40,50.00
81,110,118,12957,4036,563,45,10,2,19.40,50.00
83,113,122,13203,4116,596,50,13,2,19.40,50.10
113,275,461,20733,6641,2538,564,239,97,19.40,50.10
140,439,798,28089,9113,4578,1076,460,168,19.30,50.00
153,623,1310,35625,11660,6971,1978,859,331,19.30,50.00
182,691,1417,40404,13219,7677,2091,917,348,19.40,50.00
207,817,1656,46473,15251,9181,2453,1054,410,19.40,50.10
219,837,1684,48285,15821,9341,2480,1064,415,19.40,50.00
221,840,1690,48681,15930,9362,2483,1070,416,19.40,50.00
224,843,1694,49029,16043,9378,2483,1070,416,19.30,49.90
223,839,1686,48876,15979,9345,2471,1066,415,19.40,50.00
226,842,1689,49332,16124,9350,2468,1064,415,19.40,50.10
226,842,1689,49332,16124,9350,2468,1064,415,19.40,50.00
226,842,1689,49332,16124,9350,2468,1064,415,19.40,50.10
200,687,1355,42423,13791,7440,1954,835,320,19.40,50.00
200,687,1355,42423,13791,7440,1954,835,320,19.40,50.00
200,687,1355,42423,13791,7440,1954,835,320,19.40,50.00
174,523,1019,35220,11366,5405,1440,613,249,19.40,49.90
162,340,508,27711,8848,3009,538,217,89,19.40,50.00
132,268,398,22764,7216,2260,422,159,72,19.30,49.90
107,143,162,16797,5223,774,62,25,11,19.30,50.00
97,123,135,15255,4729,611,33,15,6,19.40,49.90
95,121,130,14853,4613,590,32,10,6,19.30,49.90
94,121,130,14721,4577,600,37,10,6,19.40,50.00
90,116,125,14088,4400,556,37,10,6,19.40,50.00
86,110,117,13407,4175,523,32,9,6,19.40,50.00
81,104,112,12693,3970,506,30,9,6,19.40,49.90
79,101,111,12420,3882,481,32,12,7,19.40,49.90
77,99,108,12072,3773,481,34,10,4,19.40,49.90
75,96,104,11721,3671,466,31,9,3,19.40,49.90
75,96,104,11721,3671,466,31,9,3,19.40,50.00
75,96,104,11721,3671,466,31,9,3,19.40,49.90
72,91,96,11205,3501,414,29,6,2,19.30,49.90
72,91,96,11205,3501,414,29,6,2,19.30,50.00
72,91,96,11205,3501,414,29,6,2,19.40,49.90
67,86,91,10521,3278,407,29,6,2,19.40,50.00
67,86,91,10521,3278,407,29,6,2,19.40,50.00
67,86,91,10521,3278,407,29,6,2,19.40,49.90
63,82,87,10224,3173,390,27,6,2,19.40,49.80
63,82,87,10224,3173,390,27,6,2,19.40,49.80
63,82,87,10224,3173,390,27,6,2,19.40,49.90
63,79,84,9984,3088,366,21,6,2,19.40,50.00
63,79,84,9984,3088,366,21,6,2,19.40,49.90
63,79,84,9984,3088,366,21,6,2,19.40,49.80
61,79,85,9882,3048,370,28,5,2,19.40,49.80
61,79,85,9882,3048,370,28,5,2,19.40,49.80
61,79,85,9882,3048,370,28,5,2,19.40,49.90
60,77,83,9642,2975,352,29,5,2,19.40,49.80
60,75,82,9603,2961,342,27,6,2,19.40,49.80
60,77,80,9615,2966,367,23,3,1,19.40,49.90
60,76,79,9600,2952,355,19,3,1,19.40,49.80
59,75,78,9498,2918,358,20,3,1,19.40,49.70
58,74,78,9351,2869,353,20,4,2,19.40,49.90
59,75,81,9561,2944,339,25,7,5,19.40,49.90
58,72,78,9414,2913,329,22,6,4,19.40,49.70
56,72,78,9270,2875,341,25,6,4,19.40,49.80
56,70,76,9144,2835,337,17,6,4,19.40,49.90
59,73,78,9381,2910,345,16,6,4,19.40,49.90
58,73,77,9339,2879,338,15,5,4,19.40,49.80
55,69,74,8982,2762,311,15,5,4,19.40,49.80
54,68,73,8901,2728,299,15,5,4,19.40,49.90
54,68,73,8901,2728,299,15,5,4,19.40,49.80
54,68,74,8874,2720,309,17,6,4,19.40,49.80
54,68,74,8874,2720,309,17,6,4,19.40,49.80
54,68,74,8874,2720,309,17,6,4,19.40,49.90
53,68,74,8832,2704,317,19,6,3,19.40,49.90
52,67,73,8832,2704,317,19,6,3,19.40,49.80
